Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P0A8T7	rpoC	DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1	91	6045.53	155045.008	7164
P0A8V2	rpoB	DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	89	5061.29	150520.2758	8888
P36683	acnB	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	67	4505.67	93420.9457	16600
P15254	purL	Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3	65	4277.71	141295.8984	821
P09831	gltB	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3	64	4111.74	163176.3153	604
P0AFG8	aceE	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	59	3547.25	99587.94042	11820
P0A9Q7	adhE	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	58	4443.68	96048.64958	5472
P0CE47	tufA	Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1	57	4565.07	43238.30279	443852
P25665	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6	56	4067.16	84602.80905	1711
P0A6F5	groL	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	55	3795.21	57274.67483	65887
P00968	carB	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	55	3752.55	117749.3328	411
P09373	pflB	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	54	3972.86	85284.7241	6984
P0A6Y8	dnaK	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	53	4447.08	69054.47444	59770
P05793	ilvC	Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	52	2706.42	54016.26705	3422
P0A705	infB	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	52	3380.67	79678.11829	6788
P00864	ppc	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1	50	3589.35	98982.23464	1283
P0A6M8	fusA	Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2	49	4276.28	77514.47523	86623
P00957	alaS	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	49	3631.87	95954.64438	3256
P00961	glyS	Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4	47	3352.04	76746.96578	6498
P76558	maeB	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	46	2485.6	82346.78295	2473
P0AG67	rpsA	30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1	44	2834	61102.7043	64900
P07813	leuS	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	43	2357.38	97153.28428	2692
P00561	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	42	3126.22	89045.79557	2160
P0AFG3	sucA	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	42	2817.04	104977.5259	6084
P00956	ileS	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	41	2164.51	104212.5396	2886
P25553	aldA	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	41	2623.32	52221.71682	11229
P06959	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	40	2531.68	66036.77654	22341
P23847	dppA	Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1	40	2246.78	60237.23952	2476
P07395	pheT	Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2	40	2768.54	87305.38731	7699
P21889	aspS	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	40	2303.66	65853.62132	4356
P07118	valS	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	40	2513.25	108105.6884	3107
P10408	secA	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	40	2576.06	101940.9335	1794
P08200	icd	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	38	2595.05	45709.46787	19445
P0ABB4	atpD	ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2	38	2757.77	50275.81931	42417
P0AES4	gyrA	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	38	2233.08	96885.40294	1873
P13029	katG	Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2	38	2675.38	79956.11435	2215
P04825	pepN	Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2	37	2372.98	98838.72264	2506
P0A9G6	aceA	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	36	2786.72	47473.57659	15283
